url,header,author
/news/articles/2023-11-06/lanxess-cuts-outlook-dividend-as-german-chemical-slump-bites?srnd=null,"Lanxess Cuts Outlook, Dividend as German Chemical Slump Bites",By   William Wilkes and Isolde MacDonogh
/news/articles/2023-11-06/winner-take-all-rally-spurs-big-distortion-among-s-p-500-members?srnd=null,Lopsided Stock Rally Blurs Lines of S&P 500 Membership,By   Emily Graffeo
/news/articles/2023-11-06/worst-sales-beats-in-years-show-weakening-us-consumer-trends?srnd=null,Worst Sales Beats in Years Show Weakening US Consumer Trends,By   Sagarika Jaisinghani and Farah Elbahrawy
/news/articles/2023-11-06/gas-traders-see-signs-europe-demand-gains-may-surprise-in-winter?srnd=null,Europe Gas Traders See Signs Demand Set to Rise ,By   Elena Mazneva and Anna Shiryaevskaya
/news/articles/2023-11-06/metals-extend-rally-with-china-seen-giving-more-economic-support?srnd=null,Metals Extend Rally With China Seen Giving More Economic Support,By   Eddie Spence
/news/articles/2023-11-06/wall-street-pros-warn-1-trillion-of-etfs-at-risk-on-t-1-shift?srnd=null,SEC Rule to Speed Trades Puts $1 Trillion of ETFs at Risk,By   Isabelle Lee and Emily Graffeo
/news/articles/2023-11-06/deutsche-bank-changes-libor-zombie-at1-notes-with-sweetened-deal?srnd=null,Deutsche Bank Sweetens Deal to Seal Zombie Bond Tweaks,By   Tasos Vossos
/news/articles/2023-11-06/hedge-fund-man-group-sees-bearish-emerging-market-bet-paying-off?srnd=null,Hedge Fund Man Group Sees Bearish Emerging-Market Bet Paying Off,By   Selcuk Gokoluk and Esteban Duarte
/news/articles/2023-11-06/morgan-stanley-s-wilson-warns-stock-gains-are-bear-market-rally?srnd=null,Morgan Stanley’s Wilson Warns Stock Gains Are Bear Market Rally,By   Farah Elbahrawy
/news/articles/2023-11-06/after-25-years-of-research-at-ubs-ojeda-becomes-a-fund-manager?srnd=null,"After 25 Years of Research at UBS, Ojeda Becomes a Fund Manager",By   Macarena Muñoz
/news/articles/2023-11-06/china-s-vice-premier-he-lifeng-heads-top-financial-policy-bodies?srnd=null,China’s Vice Premier He Lifeng Confirmed As Economy Czar,By   Bloomberg News
/news/articles/2023-11-06/uk-s-first-pensions-superfund-deal-wins-regulator-s-approval?srnd=null,UK’s First Pensions Superfund Deal Wins Regulator’s Approval,By   Laura Benitez
/news/articles/2023-11-06/why-preschool-is-so-expensive-a-childcare-executive-explains-the-economics?srnd=null,A Childcare Entrepreneur Explains Why Preschool Is So Expensive,By   Abraiya Ruffin
/news/articles/2023-11-06/why-does-childcare-cost-so-much-a-look-at-the-economics-of-the-industry?srnd=null,The Economics of Building a Childcare Business,By   Tracy Alloway and Joe Weisenthal
/news/articles/2023-11-06/a-k-alternative-eyes-48-million-new-india-private-credit-fund?srnd=null,A.K. Alternative Eyes $48 Million New India Private Credit Fund,By   Divya Patil
/news/articles/2023-11-06/korea-slams-banks-hedge-funds-with-ban-on-short-selling-ahead-of-elections?srnd=null,"Korea Slams Banks, Hedge Funds With Ban on Short Selling Ahead of Elections",By   Youkyung Lee
/news/articles/2023-11-06/blackrock-s-boivin-says-high-rates-still-a-threat-to-stock-rally?srnd=null,BlackRock’s Boivin Says High Rates Still a Threat to Stock Rally,By   Sagarika Jaisinghani
/news/articles/2023-11-06/zambia-moves-to-halt-world-s-worst-currency-fall-after-argentina?srnd=null,Zambia Moves to Halt World’s Worst Currency Fall After Argentina,By   Taonga Mitimingi
/news/articles/2023-11-06/pernod-ricard-ramps-up-china-focus-to-tap-high-end-booze-demand?srnd=null,Pernod Ricard Ramps Up China Focus to Tap High-End Booze Demand,By   Bloomberg News
/news/articles/2023-11-06/cold-snaps-delay-corn-harvest-in-china-s-northeastern-region?srnd=null,Cold Snaps Delay Corn Harvest in China’s Northeastern Region,By   Hallie Gu
/news/articles/2023-11-06/private-credit-apollo-ares-tikehau-facing-limits-on-who-they-can-buy-from?srnd=null,Private Credit Giants Are Butting Heads Over a Hot New Asset Class,By   Laura Benitez and Silas Brown
/news/articles/2023-11-06/the-bond-trade-of-2024-in-emerging-markets-may-beckon-in-turkey?srnd=null,The Bond Trade of 2024 in Emerging Markets May Beckon in Turkey,By   Ugur Yilmaz and Beril Akman
/news/articles/2023-11-06/morgan-stanley-says-oil-at-110-could-prompt-rbi-to-hike-again?srnd=null,Morgan Stanley Says Oil at $110 Could Prompt RBI to Hike Again,By   Nasreen Seria
/news/articles/2023-11-06/china-opens-corruption-probe-into-ex-icbc-banker-zhang-hongli?srnd=null,China Opens Corruption Probe Into Ex-ICBC Banker Zhang Hongli,By   Bloomberg News
/news/articles/2023-11-06/china-builder-vanke-jumps-ahead-of-investors-regulator-meeting?srnd=null,"China Builder Vanke Jumps Ahead of Investors, Regulator Meeting",By   Bloomberg News
/news/articles/2023-11-06/hello-kitty-owner-sanrio-jumps-as-tourism-rebound-lifts-earnings?srnd=null,Hello Kitty Owner Sanrio Jumps as Tourism Rebound Lifts Earnings,By   Aya Wagatsuma
/news/articles/2023-11-06/ciie-update-ties-with-china-improving-australia-s-farrell-says?srnd=null,CIIE Update: US Envoy Wants More China Trade; Intel Optimistic,By   Bloomberg News
/news/articles/2023-11-06/philippines-looking-at-japan-india-for-railway-funding-deals?srnd=null,"Philippines Looking at Japan, India for Railway Funding Deals",By   Ditas Lopez
/news/articles/2023-11-06/aussuper-should-make-rival-origin-bid-or-back-off-eig-ceo-says?srnd=null,"AusSuper Should Make Rival Origin Bid or Back Off, EIG CEO Says",By   Harry Brumpton
/news/articles/2023-11-06/china-s-control-of-daily-yuan-level-at-degree-last-seen-in-2010?srnd=null,China’s Control of Daily Yuan Level at Degree Last Seen in 2010,By   Bloomberg News
/news/articles/2023-11-06/chinese-brokerages-surge-on-report-of-support-for-merger-deals?srnd=null,China Brokerages Rise as Regulator Proposes Wider Capital Use,By   Bloomberg News
/news/articles/2023-11-06/hedge-funds-catapulted-treasury-shorts-to-record-at-wrong-time?srnd=null,Hedge Funds Catapulted Treasury Shorts to Record at Wrong Time,By   Ruth Carson and David Finnerty
/news/articles/2023-11-06/blackstone-sees-most-asia-deal-activity-in-japan-india-in-2024?srnd=null,"Blackstone Sees Most Asia Deal Activity in Japan, India in 2024",By   Lisa Du and Takako Taniguchi
/news/articles/2023-11-06/new-zealand-commodity-prices-extend-gains-on-dairy-dollar?srnd=null,"New Zealand Commodity Prices Extend Gains on Dairy, Dollar",By   Tracy Withers
/news/articles/2023-11-06/westpac-may-lose-laggard-status-after-buyback-and-dividend-hike?srnd=null,Westpac May Lose Laggard Status After Buyback and Dividend Hike,By   Adam Haigh
/news/articles/2023-11-06/south-korea-stocks-jump-as-nation-reimposes-ban-on-short-selling?srnd=null,Short-Selling Ban Sparks Biggest Rally in Korean Stocks Since 2020,By   Youkyung Lee
/news/articles/2023-11-05/oil-edges-higher-after-saudis-and-russian-reaffirm-supply-cuts?srnd=null,"Oil Edges Up After Saudi Arabia, Russia Reaffirm Supply Cuts",By   Julia Fanzeres and Mia Gindis
/news/articles/2023-11-05/wall-street-s-top-bosses-descend-on-hong-kong-after-deep-cuts?srnd=null,Wall Street’s Top Bosses Descend on Hong Kong After Deep Job Cuts,By   Krystal Chia
/news/articles/2023-11-05/asia-stocks-set-for-bullish-tailwind-from-us-rally-markets-wrap?srnd=null,Wall Street Faces ‘Reality Check’ After Big Rally: Markets Wrap,By   Rita Nazareth
/news/articles/2023-11-05/five-key-charts-to-watch-in-global-commodity-markets-this-week?srnd=null,Five Key Charts to Watch in Global Commodities This Week,By   Sophie Caronello
/news/articles/2023-11-05/russia-to-stick-with-voluntary-oil-export-cuts-until-year-end?srnd=null,Russia to Stick With Voluntary Oil Export Cuts Until Year-End,By   Bloomberg News
/news/articles/2023-11-05/saudi-arabia-sticks-with-plan-for-oil-cuts-amid-mideast-tension?srnd=null,"Saudi, Russia Stick to Planned Oil Cuts Amid Mideast Tension",By   Grant Smith and Salma El Wardany
/news/articles/2023-11-05/emerging-asia-currencies-buoyed-by-rate-hikes-set-to-outperform?srnd=null,Emerging Asia Currencies Buoyed by Rate Hikes Set to Outperform,By   Tania Chen and Matthew Burgess
/news/articles/2023-11-05/lvmh-to-buy-eyewear-maker-barton-perreira-in-80m-deal-wsj-says?srnd=null,"LVMH to Buy Eyewear Maker Barton Perreira in $80M Deal, WSJ Says",By   Christine Burke
/news/articles/2023-11-05/south-korea-to-ban-short-selling-of-stocks-until-june-next-year?srnd=null,South Korea to Ban Short-Selling of Stocks Until June 2024,By   Youkyung Lee and Sangmi Cha
/news/articles/2023-11-05/bond-traders-on-collision-course-with-higher-for-longer-mantra?srnd=null,Bond Traders on Collision Course With Higher-for-Longer Mantra,By   Alice Gledhill
/news/articles/2023-11-05/philippines-allows-short-selling-in-stocks-from-monday-in-move-to-boost-trading?srnd=null,Short-Selling Debuts in the Philippines After a 27-Year Wait,By   Ian Sayson
/news/articles/2023-11-05/pimco-jpmorgan-are-gearing-up-for-long-winter-in-china-markets?srnd=null,"Pimco, JPMorgan Are Gearing Up for Long Winter in China Markets","By   Tania Chen, Abhishek Vishnoi and Richard Henderson"
/news/articles/2023-11-04/chalmers-aims-to-appoint-new-rba-deputy-governor-within-a-month?srnd=null,Chalmers Aims to Appoint New RBA Deputy Governor Within a Month,By   Matthew Brockett
/news/articles/2023-11-04/bond-market-has-fighting-chance-to-avoid-historic-losing-streak?srnd=null,Bond Market Has Fighting Chance to Avoid Historic Losing Streak,"By   Liz Capo McCormick, Michael Mackenzie and Ye Xie"
/news/articles/2023-11-04/the-junk-debt-market-is-shrinking-and-that-means-the-credit-cycle-may-be-turning?srnd=null,Junk Debt Market Shrinks as Maturity Wall Looms: Credit Weekly,By   Hannah Benjamin-Cook and Sri Taylor
/news/articles/2023-11-04/s-p-500-s-rebound-is-at-risk-from-a-souring-us-earnings-outlook?srnd=null,S&P 500’s Rebound Is at Risk From a Souring US Earnings Outlook,By   Elena Popina and Jessica Menton
/news/articles/2023-11-04/former-crypto-day-traders-say-no-thanks-even-as-bitcoin-roars-back?srnd=null,Former Crypto Day Traders Say No Thanks Even as Bitcoin Roars Back,By   Teresa Xie
/news/articles/2023-11-04/china-s-sinopec-qatarenergy-sign-27-year-lng-supply-deal?srnd=null,"China’s Sinopec, QatarEnergy Sign 27-Year LNG Supply Deal",By   Priscila Azevedo Rocha and Stephen Stapczynski
/news/articles/2023-11-04/vedanta-posts-loss-on-higher-tax-outgo-and-weak-zinc-prices?srnd=null,Vedanta Posts Loss on Higher Tax Outgo and Weak Zinc Prices,By   Swansy Afonso
/news/articles/2023-11-04/vedanta-nears-deal-to-raise-1-25-billion-via-private-loan?srnd=null,Vedanta Nears Deal to Raise $1.25 Billion Via Private Loan,By   Saikat Das
/news/articles/2023-11-04/two-fuels-that-power-the-global-economy-flash-red-in-europe?srnd=null,Two Fuels That Power the Global Economy Flash Red in Europe,"By   Jack Wittels, Elizabeth Low and Chunzi Xu"
/news/articles/2023-11-04/japan-s-fading-rally-drives-some-investors-to-cheap-china-shares?srnd=null,Japan’s Fading Rally Drives Some Investors to Cheap China Shares,By   John Cheng and Ishika Mookerjee
/news/articles/2023-11-03/expedia-leads-online-travel-stocks-higher-lifts-holiday-hopes?srnd=null,"Expedia Leads Online Travel Stocks Higher, Lifts Holiday Hopes",By   Natalie Lung
/news/articles/2023-11-03/sculptor-suitor-rithm-s-bid-backed-by-proxy-advisory-firm-iss?srnd=null,Rithm’s Bid for Hedge Fund Sculptor Backed by Proxy Advisory Firm ISS,By   Katherine Burton
/news/articles/2023-11-03/ex-barclays-ceo-diamond-says-worst-ahead-for-corporate-credit?srnd=null,Ex-Barclays CEO Diamond Says Worst Ahead for Corporate Credit,By   Max Reyes
/news/articles/2023-11-03/wall-street-bears-propel-biggest-cross-asset-rally-this-year?srnd=null,Biggest Cross-Asset Rally This Year Takes Wall Street by Storm,By   Denitsa Tsekova
/news/articles/2023-11-03/hedge-funds-cut-bullish-bets-on-us-oil-by-most-in-over-two-years?srnd=null,Hedge Funds Cut Bullish Bets on US Oil by Most in Over Two Years,By   Devika Krishna Kumar and Mia Gindis
/news/articles/2023-11-03/activist-elliott-sues-sec-for-records-on-proposed-swaps-rules?srnd=null,Activist Elliott Sues SEC for Records on Proposed Swap Rules,By   Sabrina Willmer
/news/articles/2023-11-03/wall-street-gets-more-leeway-to-invest-client-margin-under-plan?srnd=null,Wall Street Gets More Leeway to Invest Client Margin Under CFTC Plan,By   Lydia Beyoud
/news/articles/2023-11-03/summers-warns-against-investor-rush-to-declare-fed-s-job-is-over?srnd=null,Summers Warns Against Investor Rush to Declare Fed’s Job Is Done,By   Christopher Anstey
/news/articles/2023-11-03/platinum-equity-nears-3-billion-plus-deal-for-kohler-unit?srnd=null,Platinum Equity Nears $3 Billion-Plus Deal for Kohler Unit,"By   Kiel Porter, Gillian Tan and Ryan Gould"
/news/articles/2023-11-03/muni-rally-drive-yields-down-to-biggest-weekly-drop-since-2022?srnd=null,"Muni Bonds Extend Rally, Driving Yields to Biggest Weekly Drop Since 2022",By   Nic Querolo and Martin Z. Braun
/news/articles/2023-11-03/mayo-calls-upbeat-bank-executives-out-of-sync-with-stock-pain?srnd=null,"Upbeat Bank Executives Are ‘Out of Sync’ With Stock Pain, Mike Mayo Says",By   Max Reyes
/news/articles/2023-11-03/canada-finance-minister-gears-up-for-pension-fight-with-alberta?srnd=null,Canada Finance Minister Gears Up for Pension Fight With Alberta,By   Kevin Orland
/news/articles/2023-11-03/s-p-runs-stress-tests-on-us-mid-market-private-credit-borrowers?srnd=null,S&P Runs Stress Tests on US Mid-Market Private Credit Borrowers,By   Francesca Veronesi
/news/articles/2023-11-03/argentine-soy-giant-at-risk-if-1-3-billion-rescue-deal-rejected?srnd=null,Argentine Soybean Processor At Risk If $1.3 Billion Rescue Deal Rejected,By   Jonathan Gilbert and Isis Almeida
/news/articles/2023-11-03/federal-reserve-clearing-house-say-bank-payment-issues-resolved?srnd=null,Clearing House Says No Ongoing Payment Bug After Error,By   Max Reyes and Paige Smith
/news/articles/2023-11-03/citi-global-head-of-commodities-ed-morse-leaves-after-12-years?srnd=null,Citi Head of Commodities Strategy Ed Morse Leaves Bank,By   Natalia Kniazhevich and Devika Krishna Kumar
/news/articles/2023-11-03/solar-stocks-bounce-even-as-earnings-disappointments-pile-up?srnd=null,Solar Stocks Bounce Even as Earnings Disappointments Pile Up,By   Geoffrey Morgan and Carmen Reinicke
/news/articles/2023-11-03/us-bank-stocks-bounce-as-rate-cut-hopes-drive-best-week-since-2020?srnd=null,US Bank Stocks Bounce as Rate Cut Hopes Drive Best Week Since 2020,By   Bre Bradham
/news/articles/2023-11-03/best-run-for-bonds-since-2020-as-traders-bet-on-fed-hike-finale?srnd=null,Bonds Are Having the Best Run Since 2020 on Bets Fed Is Done Hiking,By   Edward Bolingbroke and Carter Johnson
/news/articles/2023-11-03/druckenmiller-digs-in-on-criticism-of-yellen-disputes-her-math?srnd=null,"Druckenmiller Digs In on Criticism of Yellen, Disputes Her Math",By   Sonali Basak
/news/articles/2023-11-03/bank-watchdogs-eye-possible-ripple-effects-from-benko-s-troubles?srnd=null,European Bank Watchdogs Eye Possible Ripple Effects From Benko’s Troubles,By   Nicholas Comfort
/news/articles/2023-11-03/jpmorgan-overhauls-loan-for-amneal-after-investor-backlash?srnd=null,JPMorgan Overhauls Loan for Amneal Pharmaceuticals After Investor Backlash,"By   Sri Taylor, Jeannine Amodeo and Carmen Arroyo"
/news/articles/2023-11-03/pacific-island-bougainville-seeks-to-reopen-giant-copper-mine?srnd=null,Pacific Island Bougainville Seeks to Tap Riches of Closed Copper Mine,By   Aaron Clark
/news/articles/2023-11-03/enbridge-ceo-sees-renewables-slump-limited-to-short-term-sellers?srnd=null,Enbridge CEO Sees Renewable-Energy Stock Slump Limited to Short-Term Sellers,By   Kevin Orland
/news/articles/2023-11-03/dimensional-s-gerard-o-reilly-on-the-future-of-fund-management?srnd=null,Dimensional’s Gerard O’Reilly on the Future of Fund Management,"By   Joe Weisenthal, Tracy Alloway and Aashna Shah"
/news/articles/2023-11-03/calpers-weighs-53-billion-climate-bets-amid-divestment-pressure?srnd=null,Calpers Weighs a $53-Billion Increase in Climate Investments,By   Eliyahu Kamisher
/news/articles/2023-11-03/gridiron-capital-is-said-to-sell-minority-stake-to-ridgelake?srnd=null,Gridiron Capital Sells Minority Stake to RidgeLake,By   Gillian Tan
/news/articles/2023-11-03/ontario-court-appoints-receiver-over-troubled-hedge-fund?srnd=null,Hedge Fund Roiled by Manager’s Death Placed in Receivership,"By   Christine Dobby, Layan Odeh and Esteban Duarte"
